Регистрационный номер|Дата внесения записи|Полное наименование организации|Основной государственный регистрационный номер организации по ЕГРЮЛ|Основной государственный регистрационный номер организации по ЕГРЮЛ актуальный|Идентификационный номер налогоплательщика|Дата и номер решения  о государственной аккредитации|Сведения об изменениях, внесенных в содержащиеся в реестре сведения об аккредитованной организации (при наличии)|Справочно место регистрации организации / почтовый адрес
11|2016-09-30 00:00:00|Общество с ограниченной ответственностью «ЛАНИТ-ТЕРКОМ» (бывш. Закрытое акционерное общество «Ланит-Терком»)|1167847383824|1167847383824|7819035190|№ 14 от 24.01.2008|02.11.2016 полное наименование организации изменено с «Закрытое акционерное общество «Ланит-Терком» на «Общество с ограниченной ответственностью «ЛАНИТ-ТЕРКОМ», ОГРН изменен с «1037841001681» на «1167847383824», ИНН с «7819019624» на «7819035190» (Евстигнеева Т.П.)|пр-т Университетский, д. 28, г. Петергоф, г. Санкт-Петербург, 198504
12|2008-01-25 00:00:00|Закрытое акционерное общество «Научно - исследовательский институт «ЦЕНТРПРОГРАММСИСТЕМ»|1026900539767|1026900539767|6904008332|№ 15 от 24.01.2008||пр-т 50 лет Октября, д. 3А, г. Тверь, Тверская обл., 170024
13|2008-01-25 00:00:00|Федеральное государственное унитарное предприятие «Научно-исследовательский центр информатики при Министерстве иностранных дел Российской Федерации»|1037739382438|1037739382438|7704014274|№ 16 от 24.01.2008||пер. Денежный, д. 21, г. Москва, 120220
14|2008-01-25 00:00:00|Закрытое акционерное общество «Тульская лаборатория информационных и математических технологий»|1027100738060|1027100738060|7106008891|№ 17 от 24.01.2008||ул. Советская д. 112, г. Тула, Тульская обл., 300041
15|2008-01-25 00:00:00|Акционерное общество «НПО Опыт»|1037739223961|1037739223961|7714102360|№ 18 от 24.01.2008 (в ред. от 20.04.2015 № 117)||пер. Авиационный, д. 5, г. Москва, 125319
16|2008-01-25 00:00:00|Закрытое акционерное общество «ПроСофт - М»|1037739332949|1037739332949|7735047640|№ 19 от 24.01.2008||наб. Космодамианская, д. 4/22, корп. А, пом. 1, комн. 1, г. Москва, 115035
17|2016-05-06 00:00:00|Акционерное общество «Главный научный инновационный внедренческий центр» (бывш. ФГУП «Главный научно-исследовательский вычислительный центр Федеральной налоговой службы»)|1167746447461|1167746447461|7733284010|№ 20 24.01.2008|15.06.2016 полное наименование организации изменено с «ФГУП «Главный научно-исследовательский вычислительный центр Федеральной налоговой службы» на «Акционерное общество «Главный научный инновационный внедренческий центр», ОГРН изменен с «1027700191397» на «1167746447461», ИНН с «7707083861» на «7733284010» (Евстигнеева Т.П.)|пр-д Походный, домовладение 3, стр. 1, г. Москва, 125373
18|2008-01-25 00:00:00|Общество с ограниченной ответственностью «ФОРС-Центр разработки»|1027700404830|1027700404830|7702270040|№ 21 от 24.01.2008||туп. Трифоновский, д. 3, г. Москва, 129272
19|2008-01-25 00:00:00|Акционерное общество «АСТ»|1027724000094|1027724000094|7724244406|№ 22 от 24.01.2008|21.08.2019 полное наименование организации изменено с «Закрытое акционерное общество «АСТ» на «Акционерное общество «АСТ», Савинова О.О.|ш. Каширское, д. 13, корп. 2, стр. 4, этаж 5, комн. 55, г. Москва, 115230
20|2008-01-25 00:00:00|Акционерное общество «Электронный архив»|1037700057780|1037700057780|7743028263|№ 23 от 24.01.2008|11.12.2015 полное наименование организации изменено с «Закрытое акционерное общество «Электронный архив» на «Акционерное общество «Электронный архив», (Т.П. Евстигнеева)|корп. 1145, пом. НП VII, г. Зеленоград, г. Москва, 124460
21|2008-01-25 00:00:00|Общество с ограниченной ответственностью «Сейфлайн»|1077759793814|1077759793814|7702651292|№ 24 от 24.01.2008||пр-т Олимпийский, д. 16, стр. 1, г. Москва, 129090
22|2008-01-25 00:00:00|Институт теплофизики им. С.С. Кутателадзе Сибирского отделения Российской академии наук|1025403648786|1025403648786|5408100040|№ 25 от 24.01.2008||пр-т Академика Лавреньева, д. 1, г. Новосибирск, Новосибирская обл., 630090
23|2008-01-25 00:00:00|Общество с ограниченной ответственностью «Прикладные технологии»|1037402548303|1037402548303|7448055870|№ 26 от 24.01.2008||ул. Каслинская, д. 34, г. Челябинск, Челябинская обл., 454008
24|2008-01-25 00:00:00|Общество с ограниченной ответственностью «Сан Майкросистемс СПБ»|1047855069624|1047855069624|7840304046|№ 27 от 24.01.2008||ул. Красноармейская 10-я, д. 22А, г. Санкт-Петербург, 190103
25|2008-01-25 00:00:00|Общество с ограниченной ответственностью «Компьютерные программы и технологии»|1061655008689|1061655008689|1655104877|№ 28 от 24.01.2008||ул. Левобулочная, д. 24, г. Казань, Респ. Татарстан, 420111
26|2008-01-25 00:00:00|Общество с ограниченной ответственностью «БАРС Груп»|1071690071001|1071690071001|1655148257|№ 29 от 24.01.2008||ул. Правобулочная, д. 33, г. Казань, Респ. Татарстан, 420111
27|2008-01-25 00:00:00|Общество с ограниченной ответственностью «научно-производственное предприятие «ШКОЛА-ИНФО»|1023601548596|1023601548596|3666005367|№ 30 от 24.01.2008||пр-т Революции, д. 39, г. Воронеж, Воронежская обл., 394030
28|2008-01-25 00:00:00|Общество с ограниченной ответственностью «Кедр-Торговые Системы»|1031800562067|1031800562067|1831090125|№ 31 от 24.01.2008||ул. Карла. Маркса, д. 219А, г. Ижевск, Респ. Удмуртская, 426057
29|2008-01-25 00:00:00|Общество с ограниченной ответственностью «Кедр-Софт»|1051800452131|1051800452131|1831101514|№ 32 от 24.01.2008||ул. Карла. Маркса, д. 219А, г. Ижевск, Респ. Удмуртская, 426057
30|2008-01-25 00:00:00|Общество с ограниченной ответственностью «Кедр-Консалтинг»|1031800557788|1031800557788|1831088951|№ 33 от 24.01.2008||ул. Карла. Маркса, д. 219А, г. Ижевск, Респ. Удмуртская, 426057
31|2008-01-25 00:00:00|Общество с ограниченной ответственностью «Кедр-ФБ»|1021801171369|1021801171369|1831053525|№ 34 от 24.01.2008||ул. Карла. Маркса, д. 219А, г. Ижевск, Респ. Удмуртская, 426057
32|2008-02-15 00:00:00|Общество с ограниченной ответственностью «Акронис»|1047796590588|1047796590588|7715532020|№ 44 от 12.02.2008||ш. Алтуфьевское, д. 44, г. Москва, 127566
33|2008-02-18 00:00:00|Общество с ограниченной ответственностью «Аби Продакшн»|1067760778865|1067760778865|7723594937|№ 45 от 15.02.2008||ул. Отрадная, д. 2Б, стр. 6, офис 14, г. Москва, 127273
34|2008-02-18 00:00:00|Общество с ограниченной ответственностью «Логитон»|1077746313930|1077746313930|7715635428|№ 46 от 15.02.2008||ул.Складочная, д. 1, стр. 5, офис 489, г. Москва, 127018
35|2008-02-18 00:00:00|Общество с ограниченной ответственностью «АСС-Бизнес Софт»|1026601766641|1026601766641|6630008578|№ 47 от 15.02.2008||ул. Ленина, д. 14, лит. А, г. Лесной, Свердловская обл., 624205
36|2008-02-18 00:00:00|Акционерное общество «КрасИнформ»|1062466116195|1062466116195|2466137886|№ 48 от 15.02.2008||ул. Парижской Коммуны, д. 41, г. Красноярск, Красноярский край, 660049
37|2008-02-18 00:00:00|Общество с ограниченной ответственностью «Элевайз Ай Ти»|1061840040591|1061840040591|1833040909|№ 49 от 15.02.2008||ул. Ломоносова, д. 9, кв. 41, г. Ижевск, Респ. Удмуртская, 426004
38|2008-02-18 00:00:00|Общество с ограниченной ответственностью «Центр аналитических исследований» (бывш. Закрытое акционерное общество «Центр аналитических исследований»)|1147746752482|1147746752482|7721837782|№ 50 от 15.02.2008 (в ред. от 13.08.2014 № 242)||ул. 1-я Фрезерная, д. 2/1, стр. 1, г. Москва, 109202 (бывш. ул. Тарханская, д. 3, корп. 2, г. Москва, 109153)
39|2008-02-18 00:00:00|Общество с ограниченной ответственностью «Комплексные медицинские информационные системы»|1071001013005|1071001013005|1001195548|№ 51 от 15.02.2008 (в ред. от 16.04.2014 № 79)||ул. Лизы Чайкиной, д. 23Б, г. Петрозаводск, Респ. Карелия, 185030
40|2008-02-18 00:00:00|Общество с ограниченной ответственностью «Малое инновационное предприятие Тверские информационные системы»|1076952001389|1076952001389|6950052287|№ 52 от 15.02.2008||пер. Университетский, д. 9А, г. Тверь, Тверская обл., 170033
41|2008-02-18 00:00:00|Закрытое акционерное общество «Клинский институт охраны и условий труда «ОЛС-комплект»|1035003952477|1035003952477|5020034631|№ 53 от 15.02.2008||пр-д Березовой Рощи д. 4, офис 201, г.Москва, 125252
42|2008-02-18 00:00:00|Закрытое акционерное общество «ТИМ»|1077847334476|1077847334476|7804361480|№ 54 от 15.02.2008||пр-д Гражданский, д. 11, корп. 2, лит. Б, пом. 11Н, г. Санкт-Петербург, 195220
43|2008-02-18 00:00:00|Закрытое акционерное общество Научно-производственное объединение «Сенсор»|1047600805152|1047600805152|7606049840|№ 56 от 15.02.2008||ул. Республиканская, д. 3, г. Ярославль, Ярославская обл., 150003
44|2008-02-18 00:00:00|Закрытое акционерное общество «Новые информационные ситемы и технологии»|1027739661168|1027739661168|7715085365|№ 57 от 15.02.2008||ул. Октябрьская, д. 7, офис 10, г. Москва, 127018
45|2016-03-21 00:00:00|Федеральное государственное бюджетное учреждение «Научно исследовательский институт «Восход» (бывш. ФГУП «НИИ «Восход»)|1167746289248|1167746289248|7729498813|№ 58 от 15.02.2008|04.04.2016 полное наименование организации изменено с «ФГУП «НИИ «Восход» на «Федеральное государственное бюджетное учреждение «Научно исследовательский институт «Восход», ОГРН изменен с «1037739290676» на «1167746289248», ИНН с «7704007157» на «7729498813» (Евстигнеева Т.П.)|ул. Удальцова, д. 85, г. Москва, 119607
46|2008-02-18 00:00:00|Общество с ограниченной ответственностью «Санкт-Петербургский Центр Разработок ЕМС»|1047841007114|1047841007114|7841011317|№ 59 от 15.02.2008||пр-т Средний В.О. д. 36/40, лит. А, г. Санкт-Петербург, 199004
47|2008-02-18 00:00:00|Общество с ограниченной ответственностью «Прогноз»|1075905004890|1075905004890|5905251112|№ 60 от 15.02.2008||ул. Сергея Данщина д. 7, г. Пермь, Пермский край, 614990
48|2008-02-18 00:00:00|Акционерное общество «ПРОГНОЗ»|1025900756683|1025900756683|5903037635|№ 61 от 15.02.2008|30.08.2016 полное наименование организации изменено с «Закрытое акционерное общество «Прогноз» на «Акционерное общество «ПРОГНОЗ», (Евстигнеева Т.П.)|ул. Сергея Данщина д.7, г. Пермь, Пермский край, 614990
49|2008-02-18 00:00:00|ОАО «Информационные технологии и коммуникационные системы»|1027739185066|1027739185066|7710013769|№ 62 от 15.02.2008||пр-д Петровско-Разумовский Стар., д. 1/23, стр. 1, г. Москва, 127287
50|2008-02-26 00:00:00|Закрытое акционерное общество «Би-Эй-Си»|1027739254025|1027739254025|7721163646|№ 64 от 21.02.2008||ул. Пятницкая, д. 2/38, стр. 3, г. Москва, 115035
51|2008-02-26 00:00:00|Общество с ограниченной ответственностью «Элевайз»|1021801652510|1021801652510|1835051712|№ 65 от 21.02.2008||ул. Удмуртская, д. 304, офис 413, г. Ижевск, Респ. Удмуртская, 426000
52|2008-03-07 00:00:00|Закрытое акционерное общество «Диджитал Дизайн»|1037843033458|1037843033458|7803009412|№ 69 от 05.03.2008||ул. Одоевского, д. 28, лит. А, пом. 13-Н, г. Санкт-Петербург, 199155
53|2008-03-07 00:00:00|Закрытое акционерное общество «ДоксВижн Оператор»|1027800550876|1027800550876|7801144409|№ 70 от 05.03.2008||ул. Одоевского, д. 28, лит. А, пом. 10-Н, г. Санкт-Петербург, 199155
54|2008-03-07 00:00:00|Общество с ограниченной ответственностью «СиБОСС девелопмент интернейшнл»|1077764818548|1077764818548|7728644910|№ 71 от 05.03.2008||ш. Старокалужское, д. 62, стр. 1, г. Москва, 117630
55|2008-03-07 00:00:00|ФГУП «Главный вычислительный Центр»|1037739004380|1037739004380|7702037244|№ 72 от 05.03.2008||ул. Петровка, д. 3/6, г. Москва, 125993
56|2008-03-07 00:00:00|Публичное акционерное общество «Новосибирский институт программных систем»|1025403639073|1025403639073|5408106323|№ 73 от 05.03.2008|30.12.2016 полное наименование организации изменено с «ОАО «Новосибирский институт программных систем» на «Публичное акционерное общество «Новосибирский институт программных систем», (Евстигнеева Т.П.)|пр-т Академика Лаврентьева, д. 6/1, г. Новосибирск, Новосибирская обл., 630090
57|2008-03-07 00:00:00|Закрытое акционерное общество «Аладдин Р.Д.»|1027739490415|1027739490415|7719165935|№ 74 от 05.03.2008||ул. Докукина, д. 16, г. Москва, 129226
58|2008-03-07 00:00:00|Закрытое акционерное общество «Центр системных исследований «Интегро»|1030304213401|1030304213401|276048306|№ 75 от 05.03.2008||ул. Комсомольская, д. 96, корп. 1, г. Уфа, Респ. Башкортостан, 420009
59|2008-03-07 00:00:00|ОАО «Информационные системы»|1022500696569|1022500696569|2508007602|№ 76 от 05.03.2008||ул. Портовая, д. 22, г. Находка, Приморский край, 692900
60|2008-03-07 00:00:00|Общество с ограниченной ответственностью НПП «АВИАИНСТРУМЕНТ»|1034316611438|1034316611438|4345070800|№ 77 от 05.03.2008||ул. Физкультурников, д. 8А, г. Киров, Кировская обл., 610033
61|2008-03-07 00:00:00|Общество с ограниченной ответственностью «Организационно - технологические решения 2000»|1027700269530|1027700269530|7718162032|№ 78 от 05.03.2008||пер. Барыковский, д. 4, стр. 2, г. Москва, 119034
62|2008-03-07 00:00:00|Общество с ограниченной ответственностью «НетКрэкер»|1037739932230|1037739932230|7713511177|№ 79 от 05.03.2008||ул. Дубнинская, д. 83, стр. 1, г. Москва, 127591
63|2008-03-07 00:00:00|Общество с ограниченной ответственностью «Девелопер Софт»|1087154001296|1087154001296|7106502733|№ 80 от 05.03.2008||пр-т Красноармейский, д. 25, офис 901, г. Тула, Тульская обл., 300041
64|2008-03-07 00:00:00|Общество с ограниченной ответственностью «Энергетика, Микроэлектроника, Автоматика»|1045401962638|1045401962638|5405284960|№ 81 от 05.03.2008||ул. Федосеева, д. 2, г. Новосибирск, Новосибирская обл., 630089
65|2008-03-07 00:00:00|Общество с ограниченной ответственностью «ИКС-АРТ»|1027810283490|1027810283490|7826054115|№ 82 от 05.03.2008||ул. Аэродромная, д. 6, офис 29, 30, 224, г. Санкт-Петербург, 197348
66|2008-03-07 00:00:00|Общество с ограниченной ответственностью «Сибилант»|1057746373981|1057746373981|7703544310|№ 83 от 05.03.2008||ул. Большая Садовая, д. 10, офис 10, г. Москва, 123001
67|2008-03-07 00:00:00|Общество с ограниченной ответственностью «Топ Кросс»|1057746302855|1057746302855|7733538466|№ 84 от 05.03.2008||пр-д Полесский, д. 16 стр. 1, пом. 1, комн. 11, г. Москва, 125367
68|2008-03-07 00:00:00|Закрытое акционерное общество «Научно-техническая лаборатория «НЭКСТ ТЕХНИКА»|1022502277930|1022502277930|2540085820|№ 85 от 05.03.2008||пр-т 100-летия Владивостока, д. 40А, г. Владивосток, Приморский край, 690048
69|2008-03-07 00:00:00|Общество с ограниченной ответственностью «ИнтеллиДжей Лабс»|1027807585453|1027807585453|7811117852|№ 86 от 05.03.2008 (в ред. от 01.10.2013 № 270 )||пр-т Приморский, д. 70, стр. 1, офис 245, г. Санкт-Петербург, 197374
70|2008-03-07 00:00:00|Закрытое акционерное общество «НПО «Информ-система»|1027739037776|1027739037776|7719026829|№ 87 от 05.03.2008||пр-т Севастопольский, д.11А, г. Москва, 113447
71|2008-03-07 00:00:00|Общество с ограниченной ответственностью «Система Модульных Технологий - ИСС»|5077746339842|5077746339842|7709730842|№ 88 от 05.03.2008||ул. Марксистская, д. 34, корп. 10, г. Москва, 109147
72|2008-03-07 00:00:00|Общество с ограниченной ответственностью «Системы Мобильных Технологий»|1027700314036|1027700314036|7704168595|№ 89 от 05.03.2008||ул. Плющиха, д. 55, корп. 2, г. Москва, 129010
73|2008-03-07 00:00:00|Закрытое акционерное общество «Точная Механика»|1027700337136|1027700337136|7704165410|№ 90 от 05.03.2008||ул. Молчановка Б., д. 23/38, корп. 1, г. Москва, 121069
74|2008-03-26 00:00:00|ОАО «Региональный информационно-вычислительный центр «Пулково»|1027804874460|1027804874460|7810207359|№ 95 от 25.03.2008||ул. Пилотов, д. 24, г. Санкт-Петербург, 196210
75|2008-03-28 00:00:00|Закрытое акционерное общество «Компьютерные системы для бизнеса»|1027804879387|1027804879387|7810904409|№ 98 от 27.03.2008||ш. Пулковское, д. 40, корп. 4, лит. Д, г. Санкт-Петербург, 196158
76|2008-03-28 00:00:00|Акционерное общество «Нау-сервис»|1026605241596|1026605241596|6671116364|№ 99 от 27.03.2008|28.10.2020 полное наименование организации изменено с «Закрытое акционерное общество «Нау-сервис» на «Акционерное общество «Нау-сервис», (Савинова О.О..)|ул. Вайнера, д. 30, офис 1, г. Екатеринбург, Свердловская обл., 620014
77|2008-03-28 00:00:00|Общество с ограниченной ответственностью «АНТОР БИЗНЕС РЕШЕНИЯ»|1037708003926|1037708003926|7708215045|№ 100 от 27.03.2008||пр-д Рощинский 4-й, д.19, г. Москва, 115191
78|2008-03-28 00:00:00|Закрытое акционерное общество «Вэб Медиа Сервисез»|1027700007400|1027700007400|7718158036|№ 101 от 27.03.2008||наб. Шлюзовая, д. 6 стр. 4, г. Москва, 115114
79|2008-03-28 00:00:00|Общество с ограниченной ответственностью «Параллелз»|1057746565887|1057746565887|7743555206|№ 102 от 27.03.2008||ул. Смольная, д. 14, г. Москва, 125493
80|2008-03-28 00:00:00|Общество с ограниченной ответственностью «КВАРТА ВК»|1027700300693|1027700300693|7704198800|№ 103 от 27.03.2008||ул. Молчановка Б., д. 23/38, корп. 1, г. Москва, 121069
81|2008-03-28 00:00:00|Закрытое акционерное общество «ТаксНет»|1021602855262|1021602855262|1655045406|№ 104 от 27.03.2008||ул. Каюма Насыри, д. 28, г. Казань, Респ. Татарстан, 420021
82|2008-03-28 00:00:00|Общество с ограниченной ответственностью «Эксиджен Сервисис»|1037800059890|1037800059890|7801230827|№ 105 от 27.03.2008||ш. Пулковское, д. 40, корп. 4, лит. А, г. Санкт-Петербург, 196158
83|2008-03-28 00:00:00|Общество с ограниченной ответственностью «Скайт»|1037800026307|1037800026307|7801149887|№ 106 от 27.03.2008||пр-кт Средний, д. 86, г. Санкт-Петербург, 199106
84|2008-03-28 00:00:00|Общество с ограниченной ответственностью «Термэкс»|1057800026570|1057800026570|7801267471|№ 107 от 27.03.2008||пр-кт Средний, д. 86, г. Санкт-Петербург, 199106
85|2008-03-28 00:00:00|ФГУП «Научно-исследовательский центр информационных технологий экстремальных проблем»|1037739419497|1037739419497|7734004266|№ 108 от 27.03.2008||ш. Волоколамское, д. 30, г. Москва, 123182
86|2008-03-28 00:00:00|Закрытое акционерное общество «ДАТА ИКС/ФЛОРИН»|1027739165090|1027739165090|7704061940|№ 109 от 27.03.2008||ул. Хамовнический вал, д. 32, г. Москва, 119048
87|2008-03-28 00:00:00|Общество с ограниченной ответственностью «Свсофт МФТИ»|1057746557934|1057746557934|7714595853|№ 110 от 27.03.2008||ул. Беговая, д. 13/2, г. Москва, 125284
88|2008-03-28 00:00:00|Общество с ограниченной ответственностью «Рексофт.РУ»|1027801576252|1027801576252|7802144867|№ 111 от 27.03.2008||пр-т Энгельса, д. 27, г. Санкт-Петербург, 195156
89|2008-03-28 00:00:00|Общество с ограниченной ответственностью «Рексофт»|1027801578628|1027801578628|7802020639|№ 112 от 27.03.2008||пр-т Энгельса, д. 129, корп. 4, г. Санкт-Петербург, 194356
90|2008-03-28 00:00:00|Общество с ограниченной ответственностью «КВАРТА»|1047796955953|1047796955953|7705633622|№ 113 от 27.03.2008||наб. Москворецкая, д. 7, стр. 3, г. Москва, 109240
91|2008-03-28 00:00:00|ОАО «Обнинский городской информационный центр»|1024000939082|1024000939082|4025022003|№ 114 от 27.03.2008||ул. Фридриха Энгельса, д. 5, г. Обнинск, Калужская обл., 249032
92|2008-03-28 00:00:00|Закрытое акционерное общество «Инжиниринг + Электроникс»|1027739339979|1027739339979|7726240460|№ 115 от 27.03.2008||ул. Сущевский вал, д. 22, г. Москва, 127018
93|2008-03-28 00:00:00|Общество с ограниченной ответственностью «Научно-инновационный центр информационных технологий»|1067746506255|1067746506255|7718582710|№ 116 от 27.03.2008||ул. Краснобогатырская, д. 44, г. Москва, 107564
94|2008-03-28 00:00:00|Общество с ограниченной ответственностью «СВСофт Новосибирск»|1055406107613|1055406107613|5406309261|№ 117 от 27.03.2008||ул. Мусы Джалиля, д. 17, г. Новосибирк, Новосибирская обл., 630055
95|2008-04-22 00:00:00|Общество с ограниченной ответственностью «Ронда Лимитед»|1022502256336|1022502256336|2540044905|№ 120 от 18.04.2008||пр-т Океанский, д. 105, г. Владивосток, Приморский край, 690002
96|2008-04-22 00:00:00|Общество с ограниченной ответственностью «ЛЕТА Программное Обеспечение»|1037714020563|1037714020563|7714303606|№ 121 от 18.04.2008||ул. Текстильщиков 8-я, д. 11, стр. 2, г. Москва, 109129
97|2008-04-22 00:00:00|Общество с ограниченной ответственностью «Люксофт Профешнл»|1067761258190|1067761258190|7713605227|№ 122 от 18.04.2008||ш. Дмитровское, д. 9Б, г. Москва, 127434
98|2008-04-22 00:00:00|Общество с ограниченной ответственностью «Винус»|1035401945370|1035401945370|5405262927|№ 123 от 18.04.2008||ул. Революции, д. 6, г. Новосибирск, Новосибирская обл., 630099
99|2008-04-22 00:00:00|Общество с ограниченной ответственностью «Партнер»|1037739814090|1037739814090|7714504278|№ 124 от 18.04.2008||ул. Часовая, д. 24, стр. 3, г. Москва, 125315
100|2008-04-22 00:00:00|Общество с ограниченной ответственностью «Делкам - Урал»|1026604966520|1026604966520|6670020959|№ 125 от 18.04.2008||ул. Металлургов, д. 16Б, г. Екатеринбург, Свердловская обл., 620131
101|2008-04-22 00:00:00|Общество с ограниченной ответственностью «Элюдия»|5077746254405|5077746254405|7707620040|№ 126 от 18.04.2008||пер. Б. Каретный, д. 24/12, г. Москва, 127051
102|2008-04-22 00:00:00|Общество с ограниченной ответственностью «Инлайн технолоджис»|1027739117592|1027739117592|7715216804|№ 127 от 18.04.2008||пр-т Ленинградский, д. 39, стр. 80, г. Москва, 125167
103|2008-04-22 00:00:00|Общество с ограниченной ответственностью «ФИННЕТ-СЕРВИС»|1027739345787|1027739345787|7710397378|№ 128 от 18.04.2008||пер. Серебрянический, д. 2/5/1, стр. 4, г. Москва, 109028
104|2008-04-22 00:00:00|Общество с ограниченной ответственностью Научно-производственный центр «АИР»|1053477060449|1053477060449|3435074236|№ 129 от 18.04.2008||ул. Советская, д. 69а, г. Волжский, Волгоградская обл., 404120
105|2008-04-22 00:00:00|Общество с ограниченной ответственностью «Эктако-РД»|1027802515355|1027802515355|7804147408|№ 130 от 18.04.2008||пр-т Кондратьевский, д. 72, г. Санкт-Петербург, 198323
106|2008-04-22 00:00:00|Общество с ограниченной ответственностью «ЭПАМ Систэмз»|1037739707147|1037739707147|7719232155|№ 131 от 18.04.2008||ул. Дмитрия Ульянова, д. 9/11, корп. 2, г. Москва, 117036
107|2008-04-22 00:00:00|Общество с ограниченной ответственностью «Интегрика»|1077758950125|1077758950125|7733618489|№ 132 от 18.04.2008||пер. Уваровский, д. 2, г. Москва, 123222
108|2008-04-22 00:00:00|Общество с ограниченной ответственностью « Лаборатория трехмерного зрения»|1057747754855|1057747754855|7734530163|№ 133 от 18.04.2008||ул. Маршала Бирюзова, д. 24, г. Москва, 123060
109|2008-04-22 00:00:00|Общество с ограниченной ответственностью «Новые Технологии Безопасности»|1067759365805|1067759365805|7734553643|№ 134 от 18.04.2008||ул. Маршала Бирюзова, д. 24, г. Москва, 123060
110|2008-04-22 00:00:00|Научно-исследовательский вычислительный центр МГУ имени М.В. Ломоносова|1037739098539|1037739098539|7729099590|№ 135 от 18.04.2008||ул. Ленинские горы, д. 1, стр. 4, г. Москва, 119992
111|2008-04-30 00:00:00|Общество с ограниченной ответственностью «СТМ»|1027809233374|1027809233374|7825679650|№ 137 от 29.04.2008||ул. Полтавская, д. 7, г. Санкт-Петербург, 191036
112|2008-05-07 00:00:00|ОАО «АйСиЭл-КПО ВС»|1021603632170|1021603632170|1660014361|№ 139 от 06.05.2008||ул. Сибирский тракт, д. 34, г. Казань, Респ. Татарстан, 420029
113|2008-05-07 00:00:00|Общество с ограниченной ответственностью «ИНФИННИТИ»|1067448050757|1067448050757|7448079341|№ 140 от 06.05.2008||ул. Ворошилова, д. 37, г. Челябинск, Челябинская обл., 454021
114|2008-05-07 00:00:00|Общество с ограниченной ответственностью «Автоматизированное обеспечение качества»|1077107003203|1077107003203|7107100610|№ 141 от 06.05.2008||пер. Черниковский, д. 6Б, г. Тула, Тульская обл., 300013
115|2008-05-07 00:00:00|Общество с ограниченной ответственностью «САОТРОН»|1047796686860|1047796686860|7713535820|№ 142 от 06.05.2008||ул. Соломенной Сторожки, д. 5,1, г. Москва, 127206
116|2008-05-07 00:00:00|Закрытое акционерное общество «Научно-техническое предприятие»Ижтехинформ»|1021801156541|1021801156541|1831076586|№ 143 от 06.05.2008||ул. Кирова, д. 132, г. Ижевск, Респ. Удмуртская, 426000
117|2008-05-07 00:00:00|Общество с ограниченной ответственностью «Научно-производственная компания «Маджента Девелопмент»|1026300964711|1026300964711|6315555575|№ 144 от 06.05.2008||ул. Самарская, д. 146, офис 11, г. Самара, Самарская обл., 443011
